Id_bien;Code_Commune;Type_Local;Surface_Bati;Nombre_Piece_Princ
14658;1057;Appartement;70;3
14659;1098;Appartement;32;2
14660;1149;Appartement;124;5
14661;1231;Appartement;83;6
14662;1204;Appartement;62;3
14663;1205;Appartement;18;1
14664;1348;Appartement;25;1
14665;1281;Appartement;68;3
14666;1282;Maison;83;4
14667;1282;Appartement;61;3
14668;1301;Appartement;92;5
14669;1364;Appartement;97;5
14670;1364;Appartement;55;3
14671;1356;Appartement;54;3
14672;1355;Appartement;25;1
14673;1396;Appartement;76;3
14674;1418;Appartement;40;2
14675;1418;Appartement;81;2
14676;1419;Appartement;94;3
14677;1435;Appartement;70;4
14678;1476;Appartement;85;4
14679;1511;Appartement;51;3
14680;1550;Appartement;72;4
14681;1536;Appartement;75;3
14682;1512;Appartement;49;2
14683;1641;Appartement;78;5
14684;1639;Appartement;98;3
14685;1673;Appartement;65;3
14686;1630;Appartement;50;2
14687;1626;Appartement;52;2
14688;1626;Appartement;25;1
14689;1654;Appartement;46;2
14690;1739;Appartement;56;3
14691;1782;Appartement;53;3
14692;1805;Appartement;71;2
14693;1795;Appartement;47;2
14694;1813;Appartement;78;3
14695;1853;Appartement;32;2
14696;1858;Appartement;75;3
14697;1856;Appartement;112;5
14698;1866;Appartement;32;1
14699;1869;Appartement;45;3
14700;1868;Appartement;53;3
14701;1868;Appartement;88;4
14702;1998;Appartement;53;3
14703;1907;Appartement;40;1
14704;2007;Appartement;57;2
14705;1927;Appartement;58;2
14706;1908;Appartement;30;2
14707;1908;Appartement;77;3
14708;1909;Appartement;85;4
14709;1928;Appartement;75;3
14710;2065;Appartement;39;2
14711;2084;Appartement;26;1
14712;2132;Appartement;96;4
14713;2131;Appartement;64;3
14714;2120;Appartement;17;1
14715;3196;Appartement;55;2
14716;3214;Appartement;65;4
14717;3214;Appartement;78;3
14718;3195;Appartement;20;1
14719;3213;Appartement;45;2
14720;3200;Appartement;48;1
14721;3198;Appartement;25;1
14722;3199;Appartement;15;2
14723;3199;Appartement;117;4
14724;3199;Appartement;167;5
14725;3199;Appartement;17;1
